,links,Grantee,Purpose,Amount,Program,Date,Overview
169,https://hewlett.org/grants/stanford-university-for-developing-clean-energy-market-trainings-for-policymakers-and-regulators-in-asia/,Stanford University,For Developing Clean Energy Market Trainings For Policymakers And Regulators In Asia,"$40,000",Environment,9/23/2019,   
170,https://hewlett.org/grants/carbon180-for-the-development-of-a-diversity-equity-and-inclusion-plan/,Carbon180,"For The Development Of A Diversity, Equity, And Inclusion Plan","$25,000",Environment,9/17/2019,   
171,https://hewlett.org/grants/heart-of-the-rockies-initiative-for-strategic-planning/,Heart of the Rockies Initiative,For Strategic Planning,"$30,000",Environment,9/16/2019,   
172,https://hewlett.org/grants/outdoor-afro-for-salesforce-integration/,Outdoor Afro,For Salesforce Integration,"$30,000",Environment,9/16/2019,  Western Conservation
173,https://hewlett.org/grants/windward-fund-for-the-water-funder-initiative-1/,Windward Fund,For The Water Funder Initiative,"$200,000",Environment,9/16/2019,"The Windward Fund’s Water Funder Initiative seeks to advance sustainable water management in the American West by catalyzing philanthropy to confront the toughest problems at hand, with an eye toward building a field capable of delivering systemic change. This grant supports the activities of the Water Funder Initiative. Western Conservation"
174,https://hewlett.org/grants/greenlining-institute-for-the-sustainable-banking-and-green-cra-program/,Greenlining Institute,For The Sustainable Banking And Green CRA Program,"$250,000",Environment,9/16/2019,Greenlining will help increase investments in clean energy and climate equity initiatives in low- and moderate-income communities. Their approach seeks to tap into approximately $300 billion in CRA-qualified activity nationwide to spur more climate investments that simultaneously address poverty and environmental equity.  
175,https://hewlett.org/grants/new-york-communities-organizing-fund-inc-for-general-operating-support/,"New York Communities Organizing Fund, Inc. ",For General Operating Support,"$50,000",Environment,9/13/2019,   
176,https://hewlett.org/grants/international-council-on-clean-transportation-for-strategic-planning/,International Council on Clean Transportation,For Strategic Planning,"$40,000",Environment,9/12/2019,   
177,https://hewlett.org/grants/colorado-plateau-foundation-for-general-operating-support/,Colorado Plateau Foundation,For General Operating Support,"$150,000",Environment,9/11/2019,  Western Conservation
178,https://hewlett.org/grants/resources-legacy-fund-for-work-on-equity-inclusion-and-diversity/,Resources Legacy Fund,"For Work On Equity, Inclusion, And Diversity","$30,000",Environment,9/11/2019,   
179,https://hewlett.org/grants/transport-environment-for-sustainable-financing-taxonomy/,Transport &amp; Environment,For Sustainable Financing Taxonomy,"$150,000",Environment,9/11/2019,   
180,https://hewlett.org/grants/center-for-human-rights-and-environment-for-the-protection-of-environmental-defenders/,Center for Human Rights and Environment,For The Protection Of Environmental Defenders,"$15,000",Environment,9/9/2019,   
181,https://hewlett.org/grants/stanford-university-for-the-woods-institute-analysis-on-carbon-dioxide-removal-in-california/,Stanford University,For The Woods Institute Analysis On Carbon Dioxide Removal In California,"$250,000",Environment,9/6/2019,"This grant will support research into the barriers to carbon dioxide removal (CDR) in California and potential policy and stakeholder responses to overcome these barriers. The focus will be on industrial carbon capture, natural sequestration and policy support for direct air capture, and on a review of existing policies around carbon mitigation to look for ways to support CDR. The Woods Institute team will also engage with environmental justice advocates, industry, agriculture, and organized labor to develop CDR governance protocols for California.  "
182,https://hewlett.org/grants/wild-salmon-center-for-general-operating-support-1/,Wild Salmon Center,For General Operating Support,"$10,000",Environment,9/4/2019,  Western Conservation
183,https://hewlett.org/grants/canadian-environmental-grantmakers-network-for-annual-membership-fees-1/,Canadian Environmental Grantmakers' Network,For Annual Membership Fees,"$5,000",Environment,9/4/2019,   
184,https://hewlett.org/grants/bipartisan-policy-center-for-general-operating-support-3/,Bipartisan Policy Center,For General Operating Support,"$100,000",Environment,9/4/2019,   
185,https://hewlett.org/grants/center-for-energy-efficiency-and-renewable-technologies-for-sponsorship-of-the-annual-clean-power-champion-awards-event/,Center for Energy Efficiency and Renewable Technologies,For Sponsorship Of The Annual Clean Power Champion Awards Event,"$10,000",Environment,9/3/2019,   
186,https://hewlett.org/grants/third-way-institute-for-increasing-union-engagement-in-federal-clean-energy-standard-ces-discussions/,Third Way Institute,For Increasing Union Engagement In Federal Clean Energy Standard (CES) Discussions,"$100,000",Environment,9/3/2019,   
187,https://hewlett.org/grants/theodore-roosevelt-conservation-partnership-for-latinx-community-engagement-strategy/,Theodore Roosevelt Conservation Partnership,For Latinx Community Engagement Strategy,"$30,000",Environment,8/29/2019,  Western Conservation
188,https://hewlett.org/grants/sonoran-institute-for-work-on-equity-inclusion-and-diversity/,Sonoran Institute,"For Work On Equity, Inclusion, And Diversity","$30,000",Environment,8/29/2019,  Western Conservation
189,https://hewlett.org/grants/western-resource-advocates-for-work-on-equity-diversity-and-inclusion/,Western Resource Advocates,"For Work On Equity, Diversity, And Inclusion","$30,000",Environment,8/29/2019,  Western Conservation
190,https://hewlett.org/grants/national-audubon-society-for-equity-inclusion-and-diversity-trainings/,National Audubon Society,"For Equity, Inclusion, And Diversity Trainings","$30,000",Environment,8/29/2019,  Western Conservation
191,https://hewlett.org/grants/western-landowners-alliance-for-strategic-planning-and-an-equity-plan/,Western Landowners Alliance,For Strategic Planning And An Equity Plan,"$60,000",Environment,8/29/2019,  Western Conservation
192,https://hewlett.org/grants/inclusiv-for-clean-energy-solutions-financing/,Inclusiv,For Clean Energy Solutions Financing,"$400,000",Environment,8/29/2019,"Inclusiv will work with academic and industry partners to develop the Clean Energy Financing Initiative for Credit Unions, which will offer a permanent research and innovation hub for the credit union industry to design, test, and scale clean-energy loans and financial products to a broad cross-section of the U.S. public.  "
193,https://hewlett.org/grants/china-dialogue-trust-for-strategic-communications-in-china-0/,China Dialogue Trust,For Strategic Communications In China,"$700,000",Environment,8/29/2019,"China Dialogue creates space within China to discuss the country’s role in addressing climate change by presenting a balanced and accurate picture of China’s internal mitigation efforts, and communicating global expectations to an audience of high-level government officials who are concerned about how the world thinks about China. China Dialogue engages opinion leaders in key sectors and countries to speak to China’s role in decarbonizing its economy and overseas investments, and works in partnership with the European Climate Foundation’s Global Strategic Climate Communications hub.  "
194,https://hewlett.org/grants/energy-foundation-for-energy-foundation-china-1/,Energy Foundation,For Energy Foundation China,"$14,260,000",Environment,8/28/2019,"The Energy Foundation China’s program regrants to a broad array of organizations, including technical and policy experts working to advance the evidence necessary to promote sustainable energy and climate policies in China. Energy Foundation China will focus on mitigating CO2 emissions in power, industry, transportation, and the built environment. In 2019, EF China will focus on promoting long-term decarbonization pathways; greening China’s oversees investments; and promoting constructive dialogue between the U.S. and China on climate and energy policy, including policies that seek to electrify transportation, increase efficiency in heating and industry, and promote climate solutions that improve air quality.  "
195,https://hewlett.org/grants/independent-diplomat-for-general-operating-support/,Independent Diplomat ,For General Operating Support,"$100,000",Environment,8/26/2019,   
196,https://hewlett.org/grants/western-conservation-foundation-for-general-operating-support-14/,Western Conservation Foundation,For General Operating Support,"$600,000",Environment,8/25/2019,"The Western Conservation Foundation works to protect national public lands and rivers across the American West. This grant will enable the organization to continue to educate and engage press and policymakers, and to collaborate with an array of other conservation organizations in support of its goals. Western Conservation"
197,https://hewlett.org/grants/society-of-environmental-journalists-for-strategic-planning-0/,Society of Environmental Journalists,For Strategic Planning,"$30,000",Environment,8/25/2019,  Western Conservation
198,https://hewlett.org/grants/partners-for-conservation-for-general-operating-support-0/,Partners for Conservation,For General Operating Support,"$150,000",Environment,8/25/2019,  Western Conservation
199,https://hewlett.org/grants/global-ccs-institute-for-the-2019-and-2020-editions-of-the-global-status-of-ccs-report/,Global CCS Institute,For The 2019 And 2020 Editions Of The Global Status Of CCS Report,"$300,000",Environment,8/13/2019,"The Global Status of CCS report, published annually in December, documents the status of CCS (carbon capture and storage) around the world, and the significant operational milestones that have occurred over the previous 12 months. It serves as a resource for business leaders, government officials, policymakers, scientists, academics, and media commentators engaged on CCS technology and policy.  "
200,https://hewlett.org/grants/energy-innovation-reform-project-for-general-operating-support-2/,Energy Innovation Reform Project,For General Operating Support,"$100,000",Environment,8/13/2019,   
201,https://hewlett.org/grants/resources-legacy-fund-for-support-of-the-center-for-western-priorities-0/,Resources Legacy Fund,For Support Of The Center For Western Priorities,"$1,000,000",Environment,8/9/2019,"This grant will support the Center for Western Priorities, a project of the Resources Legacy Fund. The Center encourages public debate about conservation policy issues and works to advance those discussions online, in the news media, and throughout Western communities by sharing original research and reports. Western Conservation"
202,https://hewlett.org/grants/oxfam-america-for-support-of-u-s-international-climate-finance-0/,Oxfam America,For Support Of U.S. International Climate Finance,"$200,000",Environment,8/9/2019,Oxfam America is a relief and development organization that prioritizes work on climate change because of the threats it poses to poor and vulnerable people. Oxfam America’s efforts to build deeper understanding of and support for U.S. government climate investment programs will help maximize the ability of the U.S. to remain a participant of key bilateral and multilateral climate change programs.  
203,https://hewlett.org/grants/colorado-college-for-public-opinion-research-6/,Colorado College,For Public Opinion Research,"$300,000",Environment,8/9/2019,"Colorado College’s State of the Rockies Project seeks to increase public understanding of vital issues affecting the Rocky Mountain West. This renewal grant will support State of the Rockies’ annual Conservation in the West Poll, an Intermountain-wide poll of attitudes toward national public lands and water issues. Western Conservation"
204,https://hewlett.org/grants/national-wildlife-federation-for-organizational-assessment-and-fund-development-for-affiliates/,National Wildlife Federation,For Organizational Assessment And Fund Development For Affiliates,"$30,000",Environment,8/9/2019,  Western Conservation
205,https://hewlett.org/grants/rhodium-group-for-accelerating-ambition-of-the-major-economies-through-2030/,Rhodium Group,For Accelerating Ambition Of The Major Economies Through 2030,"$500,000",Environment,8/9/2019,"This project grant will support research to analyze the current climate mitigation policies of the 20 largest economies, compare those to where those countries need to be if we are to succeed in holding warming to under 2 degrees, and suggest policies countries can use to fill the gap. This would provide a roadmap for countries wishing to increase their ambition under the Paris Climate Agreement.  "
206,https://hewlett.org/grants/world-resources-institute-for-research-on-development-and-deployment-of-carbon-removal-technologies/,World Resources Institute,For Research On Development And Deployment Of Carbon Removal Technologies,"$450,000",Environment,8/9/2019,"This grant will support WRI’s carbon dioxide removal (CDR) program. They focus on four objectives: develop analytically grounded policy proposals to advance carbon removal; strengthen the coalition of climate advocates that support CDR; engage with the private sector to build support for policies that promote CDR; and, finally, elevate promising emerging CDR technologies.  "
207,https://hewlett.org/grants/backcountry-hunters-and-anglers-for-general-operating-support-6/,Backcountry Hunters and Anglers,For General Operating Support,"$700,000",Environment,8/7/2019,Backcountry Hunters and Anglers is a nonprofit sportsmen’s organization working to preserve North America’s outdoor heritage of hunting and fishing through public education and advocacy. This renewal grant supports the organization and its efforts to educate and engage sportsmen and women to protect high-quality hunting and fishing habitat on national public lands in the U.S. and Canada. Western Conservation
208,https://hewlett.org/grants/new-venture-fund-for-the-salmon-state-project-3/,New Venture Fund,For The Salmon State Project,"$210,000",Environment,8/2/2019,"The New Venture Fund’s Salmon State project seeks to protect the most important salmon-spawning watersheds in Alaska. The project aims to support the economy, recreation, and subsistence needs of Alaskans by educating and engaging commercial and sport fishermen, Alaska Natives, and the public. Western Conservation"
209,https://hewlett.org/grants/climate-action-reserve-for-supporting-sub-national-delegation-at-cop-25/,Climate Action Reserve,For Supporting Sub-national Delegation At COP 25,"$150,000",Environment,7/25/2019,   
210,https://hewlett.org/grants/institute-for-fisheries-resources-for-the-economic-and-environmental-vitality-of-the-klamath-river-basin-0/,Institute for Fisheries Resources,For The Economic And Environmental Vitality Of The Klamath River Basin,"$100,000",Environment,7/22/2019,  Western Conservation
211,https://hewlett.org/grants/breakthrough-institute-for-general-operating-support-0/,Breakthrough Institute,For General Operating Support,"$500,000",Environment,7/19/2019,"The Breakthrough Institute’s work is focused on three key areas: researching practical pathways to deep decarbonization, convening an ideologically diverse community of stakeholders committed to advancing technological solutions to climate change and other global environmental challenges, and building networks capable of overcoming the deep ideological polarization that has paralyzed climate and clean energy policy-making for the last several decades.  "
212,https://hewlett.org/grants/carnegie-mellon-university-for-research-to-develop-technological-cost-curves/,Carnegie Mellon University,For Research To Develop Technological Cost Curves,"$125,000",Environment,7/19/2019,   
213,https://hewlett.org/grants/university-of-california-at-berkeley-for-the-california-china-climate-policy-institute/,University of California at Berkeley,For The California-China Climate Policy Institute,"$2,000,000",Environment,7/19/2019,"The California-China Climate Policy Institute aims to convert promising climate solutions into codified policies, to advance sub-national climate leadership, and to forge collective thinking on solutions that can help both California and China in achieving their decarbonization goals. It will bring together researchers at the University of California and Tsinghua University in Beijing with policymakers from regulatory agencies in California and China to share best practices and learn from each other’s success. The Institute will focus on promoting 2050 net-zero-emission road maps for California and China, zero-emission vehicles policy, research around complimentary policies for emissions trading, as well promoting sub-national climate collaborations.  "
214,https://hewlett.org/grants/european-climate-foundation-for-the-finalization-of-the-climate-finance-partnership-negotiations/,European Climate Foundation,For The Finalization Of The Climate Finance Partnership Negotiations,"$150,000",Environment,7/16/2019,   
215,https://hewlett.org/grants/ceres-inc-for-advancing-organizational-effectiveness-through-diversity-equity-and-inclusion/,"Ceres, Inc.","For Advancing Organizational Effectiveness Through Diversity, Equity, And Inclusion","$80,000",Environment,7/16/2019,   
216,https://hewlett.org/grants/trout-unlimited-for-general-operating-support-0/,Trout Unlimited,For General Operating Support,"$2,030,000",Environment,7/15/2019,"Trout Unlimited is a nonprofit organization with 150,000 members nationwide, dedicated to conserving, protecting, and restoring North America’s cold-water fisheries and their watersheds. Western Conservation"
217,https://hewlett.org/grants/grand-canyon-trust-for-general-operating-support-3/,Grand Canyon Trust,For General Operating Support,"$1,355,000",Environment,7/15/2019,"Since 1985, the Grand Canyon Trust has worked to protect and restore the Colorado Plateau, while supporting the rights of its Native peoples. Western Conservation"
218,https://hewlett.org/grants/theodore-roosevelt-conservation-partnership-for-general-operating-support-2/,Theodore Roosevelt Conservation Partnership,For General Operating Support,"$1,650,000",Environment,7/15/2019,The mission of the Theodore Roosevelt Conservation Partnership (TRCP) is to guarantee all Americans quality places to hunt and fish. The Partnership works to advance policy solutions by uniting its partners and amplifying the voices of American sportsmen and women in service of Theodore Roosevelt’s conservation legacy. Western Conservation
219,https://hewlett.org/grants/windward-fund-for-the-women-and-climate-fund/,Windward Fund,For The Women And Climate Fund,"$12,050,000",Environment,7/15/2019,"The Windward Fund is the fiscal sponsor for a new regranting intermediary focused on elevating investment in diverse climate justice leadership to move equitable climate solutions at the speed and scale needed to attain a just and habitable world.  Inaugural seed funding from the Hewlett Foundation’s Climate Initiative, Performing Arts Program, and U.S. Reproductive Health Program will support the launch of the fund in 2019.  "
220,https://hewlett.org/grants/rhodium-group-for-the-evaluation-of-tax-credit-incentives-for-low-and-zero-carbon-technologies/,Rhodium Group,For The Evaluation Of Tax Credit Incentives For Low And Zero Carbon Technologies,"$100,000",Environment,7/12/2019,   
221,https://hewlett.org/grants/environmental-grantmakers-association-for-general-operating-support-2/,Environmental Grantmakers Association,For General Operating Support,"$200,000",Environment,7/11/2019,"The Environmental Grantmakers Association serves more than 200 foundations in the U.S., Canada, and Europe. The organization’s mission is to increase the impact of environmental philanthropy by facilitating cooperation and collaboration among members locally, regionally, nationally, and internationally. This grant will support the association’s efforts to enhance the philanthropic field through research, and expose foundation members to new constituencies and diverse ideas at its annual meeting. Western Conservation"
222,https://hewlett.org/grants/climate-policy-initiative-for-the-climate-finance-program/,Climate Policy Initiative,For The Climate Finance Program,"$1,000,000",Environment,7/10/2019,"This grant will support the overarching goal of CPI’s Climate Finance program (CPI-CF), to ensure that policy and investment decision makers have the knowledge and tools to spend resources wisely to address climate change, while achieving sustainable development goals. CPI-CF’s programmatic strategy is organized around three work streams: (a) to provide needed information on investment flows and investors, (b) apply in-depth analysis to guide decision makers on their efforts to accelerate the effective use of public and private resources, and (c) develop and scale transformative financial solutions to address investors’ needs and lower costs.  "
223,https://hewlett.org/grants/earthjustice-for-general-operating-support-6/,Earthjustice,For General Operating Support,"$1,000,000",Environment,7/10/2019,"This grant will support Earthjustice’s efforts to reduce the use of fossil fuels; safeguard health; and preserve lands, wildlife, and oceans. Earthjustice represents hundreds of organizations and communities, free of charge, in regulatory and legal proceedings to enforce and strengthen U.S. environmental laws and policies.  "
224,https://hewlett.org/grants/hispanic-access-foundation-for-a-crm-vision-and-roadmap-project/,Hispanic Access Foundation,For A CRM Vision And Roadmap Project,"$30,000",Environment,7/10/2019,  Western Conservation
225,https://hewlett.org/grants/greenlatinos-for-general-operating-support/,GreenLatinos,For General Operating Support,"$100,000",Environment,7/2/2019,  Western Conservation
226,https://hewlett.org/grants/sunrise-movement-education-fund-for-general-operating-support/,Sunrise Movement Education Fund,For General Operating Support,"$500,000",Environment,7/2/2019,"Sunrise Movement Education Fund is made up of young people who have dedicated their lives to solving the climate crisis. They work to build the public consensus needed for bold solutions that meet the scale of the challenge. Sunrise plans to hold leadership trainings for thousands of young people, with an emphasis on those living on the frontlines; facilitate large-scale media and digital communications campaigns; and conduct community organizing efforts across the country.  "
227,https://hewlett.org/grants/new-venture-fund-for-the-we-mean-business-coalition/,New Venture Fund,For The We Mean Business Coalition,"$2,000,000",Environment,7/1/2019,"This grant will support the We Mean Business Coalition, which seeks to increase corporate ambition and move to action on climate. The Coalition is hoping to raise overall awareness that net zero is not only possible, but necessary to peak emissions. Their key geographies include Europe, North America, China, and India.  "
228,https://hewlett.org/grants/energy-foundation-for-energy-foundation-u-s-program-support-0/,Energy Foundation,For Energy Foundation U.S. Program Support,"$20,000",Environment,7/1/2019,   
229,https://hewlett.org/grants/greenpeace-fund-asia-clean-air-and-climate-change-program/,Greenpeace Fund,Asia Clean Air And Climate Change Program,"$500,000",Environment,6/26/2019,Greenpeace promotes alternatives to fossil fuels around the world through exposés and creative media. It was the first NGO in China to address coal as the major source of China’s air pollution. This grant will help fund clean air and energy work in East Asia and around the world.  
230,https://hewlett.org/grants/clean-energy-works-for-general-operating-support/,Clean Energy Works,For General Operating Support,"$400,000",Environment,6/26/2019,"Clean Energy Works was formed as one of the first winners of the Climate Breakthrough Project. The organization aims to translate a financing method commonly employed by electric utilities to promote energy efficiency to accelerate the uptake of electric vehicles. The financing concept, called Pay As You Save (PAYS), was endorsed by the Global Innovation Lab for Climate Finance in 2018. Clean Energy Works is working to implement the PAYS model to help cities procure electric buses. Within three years, the organization plans to mobilize $1 billion for 4,000 electric buses in 50 cities.  "
231,https://hewlett.org/grants/business-forward-foundation-for-the-climate-and-clean-energy-program-0/,Business Forward Foundation,For The Climate And Clean Energy Program,"$100,000",Environment,6/26/2019,   
232,https://hewlett.org/grants/greater-yellowstone-coalition-for-organizational-work-on-equity-inclusion-and-diversity/,Greater Yellowstone Coalition,"For Organizational Work On Equity, Inclusion, And Diversity","$30,000",Environment,6/24/2019,  Western Conservation
233,https://hewlett.org/grants/national-wildlife-federation-for-strategic-planning-for-the-hispanics-enjoying-camping-hunting-and-the-outdoors-hecho-program/,National Wildlife Federation,"For Strategic Planning For The Hispanics Enjoying Camping, Hunting, And The Outdoors (HECHO) Program","$35,000",Environment,6/24/2019,  Western Conservation
234,https://hewlett.org/grants/high-country-news-for-salesforce-integration-and-upgrades/,High Country News,For Salesforce Integration And Upgrades,"$30,000",Environment,6/24/2019,  Western Conservation
235,https://hewlett.org/grants/open-space-institute-for-the-outdoors-america-campaign-6/,Open Space Institute,For The Outdoors America Campaign,"$200,000",Environment,6/21/2019,"The Open Space Institute’s Outdoors America Campaign is a broad-based effort to educate the public about the benefits of conserving public and private land. This grant supports the Institute’s work to conduct media outreach and build a broad coalition of partners and supporters around the recreational, ecological, and economic benefits of conserving working lands, parks, and forests, as well as American history, cultural treasures, and clean water on our public lands. Western Conservation"
236,https://hewlett.org/grants/european-climate-foundation-for-the-global-strategic-communications-council/,European Climate Foundation,For The Global Strategic Communications Council,"$1,300,000",Environment,6/21/2019,"This grant will support ECF’s Global Strategic Communications Council. The Council is an international communications network that supports NGO activity all over the world. Their focus is on unbranded communications that support climate science and scientists, promotes clean energy and transportation solutions, and counters fossil fuel opponents of climate mitigation. This grant will fund the Council’s core program and its India program.  "
237,https://hewlett.org/grants/amalgamated-foundation-for-the-platform-for-carbon-accounting-financials-pcaf-project/,Amalgamated Foundation,For The Platform For Carbon Accounting Financials (PCAF) Project,"$1,500,000",Environment,6/21/2019,"Carbon accounting of financed emissions is foundational for aligning finance portfolios with climate change mitigation. This work seeks to (a) develop a global carbon accounting standard for financed emissions (known as the Platform for Carbon Accounting Financials, or PCAF); (b) increase the number of banks that commit to measure and disclose the carbon emissions of their loans and investments, ultimately aligning their portfolio with the Paris Agreement; and (c) provide technical assistance to the participating institutions in order to adapt the global standard to the regional context, and implement carbon accounting within their firms.  "
238,https://hewlett.org/grants/united-nations-foundation-for-the-u-s-climate-alliance/,United Nations Foundation,For The U.S. Climate Alliance,"$1,000,000",Environment,6/21/2019,"The U.N. Foundation is the fiscal sponsor for the U.S. Climate Alliance, a bipartisan group of 24 U.S. states, led by their governors, committed to adopting policies to advance the U.S. Paris climate commitments. Collectively, these states represent more than half the United States population and economy. This grant will help states accelerate implementation of key policies, share best practices, provide technical assistance, and track and communicate progress.  "
239,https://hewlett.org/grants/cdp-north-america-for-general-operating-support/,CDP North America,For General Operating Support,"$1,000,000",Environment,6/19/2019,"This general operating grant will support the Carbon Disclosure Project in North America in its mission to focus investors, companies, and cities on taking urgent action to build a truly sustainable economy. Some of the strategies to achieve its mission include increasing and strengthening disclosure of companies across all major economies; generating data-driven insights to drive action and a transition to a net-zero, sustainable economy; improving tracking of progress and accountability to further accelerate shifts in corporate behavior; and informing and supporting regulation and supervisory authorities in target geographies. The focus is on policy related to disclosure, governance, and market-based solutions to address climate risk and support the Paris Agreement.  "
240,https://hewlett.org/grants/climateworks-foundation-for-carbon-dioxide-removal-initiative/,ClimateWorks Foundation,For Carbon Dioxide Removal Initiative,"$4,840,000",Environment,6/14/2019,"The Carbon Dioxide Removal Fund is a three-year collaborative project of ClimateWorks, the Climate and Land Use Alliance, the Packard Foundation, and the Spitzer Foundation. The Fund will seed policy research, convenings, thought leadership, and communications outreach around natural and technological carbon dioxide removal. It will also support other foundations with analysis and by working to align efforts in the U.S., China, and Europe.  "
241,https://hewlett.org/grants/university-of-maryland-for-a-study-on-the-youth-climate-movement/,University of Maryland,For A Study On The Youth Climate Movement,"$38,625",Environment,6/14/2019,   
242,https://hewlett.org/grants/trust-for-public-land-for-developing-an-equity-plan/,Trust for Public Land,For Developing An Equity Plan,"$30,000",Environment,6/13/2019,  Western Conservation
243,https://hewlett.org/grants/windward-fund-for-the-potential-energy-coalition-project/,Windward Fund,For The Potential Energy Coalition Project,"$3,000,000",Environment,6/13/2019,"The Windward Fund is the fiscal sponsor for the Potential Energy Coalition, which comprises leading talent in the marketing industry and the climate movement. The Coalition will work to build and deploy creative communications campaigns that help deepen and focus the existing public demand for climate action, and blunt the power of those calling for climate denial and delay.  "
244,https://hewlett.org/grants/new-venture-fund-for-the-climate-equity-communications-accelerator-program/,New Venture Fund,For The Climate Equity Communications Accelerator Program,"$3,000,000",Environment,6/12/2019,"The New Venture Fund is the fiscal sponsor for the Climate Equity Communications Accelerator Program. The Climate Equity Communications Accelerator will strengthen the communications capacity of nonprofit climate justice organizations and the broader climate justice field by integrating robust communications and narrative strategies into organizations, coalitions, and policy campaigns in target states.  "
245,https://hewlett.org/grants/wild-salmon-center-for-general-operating-support-0/,Wild Salmon Center,For General Operating Support,"$400,000",Environment,6/11/2019,"Wild Salmon Center is the leading group working to protect healthy, wild salmon rivers across the North Pacific. This general operating grant supports their ability to work with local and regional partners to conserve salmon strongholds using science and communications expertise. Western Conservation"
246,https://hewlett.org/grants/biodiversity-funders-group-for-work-on-equity-inclusion-and-diversity/,Biodiversity Funders Group,"For Work On Equity, Inclusion And Diversity","$30,000",Environment,6/11/2019,  Western Conservation
247,https://hewlett.org/grants/transformca-for-the-climateplan-program-2/,TransFormCA,For The ClimatePlan Program,"$150,000",Environment,6/11/2019,   
248,https://hewlett.org/grants/rockefeller-brothers-fund-for-work-to-address-environmental-pollution-public-health-and-climate-change-in-china/,Rockefeller Brothers Fund,"For Work To Address Environmental Pollution, Public Health, And Climate Change In China","$3,000,000",Environment,6/10/2019,"The Rockefeller Brothers Fund’s Southern China Program supports efforts to mitigate environmental pollution and greenhouse gases by building capacity in more than 30 Chinese NGOs and promoting Chinese-based philanthropy. For more than 10 years, the program has worked with local groups to highlight air and water pollution issues, as well as research institutions that support these efforts.  "
249,https://hewlett.org/grants/new-energy-nexus-for-legal-support-on-emerging-work-in-china/,New Energy Nexus,For Legal Support On Emerging Work In China,"$50,000",Environment,6/10/2019,   
250,https://hewlett.org/grants/nature-canada-for-public-communications-and-outreach-about-nature-conservation-in-canada-0/,Nature Canada,For Public Communications And Outreach About Nature Conservation In Canada,"$200,000",Environment,6/10/2019,"Founded in 1939, Nature Canada is a member-based environmental organization headquartered in Ottawa, Canada. Its supporters include more than 45,000 individuals and over 350 affiliated organizations, including local and provincial naturalist clubs. This grant supports the organization’s ability to protect and conserve wildlife and habitats in Canada by collaborating with partner organizations to bring public attention to and support for new protected areas. Western Conservation"
251,https://hewlett.org/grants/tsinghua-university-for-the-global-green-finance-leadership-program/,Tsinghua University,For The Global Green Finance Leadership Program,"$1,600,000",Environment,6/10/2019,"China, currently the largest carbon emitter, is committed to reducing emissions to meet the Paris Agreement. To transition to a low-carbon economy, market interventions are needed. Green finance can help steer private capital into climate-friendly industries and projects. The Research Center for Green Finance Development at Tsinghua University expects to accomplish two goals with this Program: (a) to accelerate the domestic development of green finance and (b) to build the capacity for green finance with international partners.  "
252,https://hewlett.org/grants/partnership-project-for-website-revamping-and-strategic-planning-for-the-climate-advocacy-lab/,Partnership Project,For Website Revamping And Strategic Planning For The Climate Advocacy Lab,"$50,000",Environment,6/10/2019,   
253,https://hewlett.org/grants/western-conservation-foundation-for-the-development-of-equity-plans/,Western Conservation Foundation,For The Development Of Equity Plans,"$60,000",Environment,6/2/2019,  Western Conservation
254,https://hewlett.org/grants/niskanen-center-for-the-climate-policy-and-litigation-program/,Niskanen Center,For The Climate Policy And Litigation Program,"$100,000",Environment,6/1/2019,   
255,https://hewlett.org/grants/gridlab-for-a-100-clean-international-conference/,Gridlab,For A 100% Clean International Conference,"$50,000",Environment,6/1/2019,   
256,https://hewlett.org/grants/georgetown-university-for-georgetown-climate-centers-clean-energy-and-transportation-programs/,Georgetown University,For Georgetown Climate Center's Clean Energy And Transportation Programs,"$340,000",Environment,6/1/2019,"The Georgetown Climate Center, based within Georgetown University Law Center, provides coordination, communication, and technical support across a number of states moving forward with climate and clean energy policies. By helping to enable these state actions and sharing their stories, the Climate Center also helps promote wider subnational leadership in the U.S., and signals to the rest of the world that the U.S. remains capable of meeting its climate commitments.  "
257,https://hewlett.org/grants/partnership-project-for-the-climate-action-campaign-5/,Partnership Project,For The Climate Action Campaign,"$500,000",Environment,5/20/2019,"The Partnership Project hosts the Climate Action Campaign, a group of national environmental organizations and influential partners that conducts coordinated efforts to slow and stop attacks on climate and clean energy progress.  "
258,https://hewlett.org/grants/clean-energy-credit-union-for-expanding-opportunities-for-clean-energy-lending-in-the-united-states/,Clean Energy Credit Union,For Expanding Opportunities For Clean Energy Lending In The United States,"$1,000,000",Environment,5/18/2019,"Public demand for clean energy is growing rapidly, but because clean energy products typically require a large up-front cost, there is a growing need for affordable financing. The Clean Energy Credit Union (CECU) will serve as a nexus for those who wish to learn about opportunities or to leverage their financial savings in order to promote clean energy, environmental stewardship, and a cooperative economy. Its vision is a world where everyone can participate in the clean energy movement.  "
259,https://hewlett.org/grants/idaho-conservation-league-for-general-operating-support-3/,Idaho Conservation League,For General Operating Support,"$200,000",Environment,5/17/2019,"The Idaho Conservation League (ICL) is Idaho’s leading voice for conservation, working to protect public lands, maintain and improve rivers and streams, and transition Idaho to a cleaner, lower-carbon future. Western Conservation"
