,text
194,"The Energy Foundation China’s program regrants to a broad array of organizations, including technical and policy experts working to advance the evidence necessary to promote sustainable energy and climate policies in China. Energy Foundation China will focus on mitigating CO2 emissions in power, industry, transportation, and the built environment. In 2019, EF China will focus on promoting long-term decarbonization pathways; greening China’s oversees investments; and promoting constructive dialogue between the U.S. and China on climate and energy policy, including policies that seek to electrify transportation, increase efficiency in heating and industry, and promote climate solutions that improve air quality.  For Energy Foundation China"
195,   For General Operating Support
196,"The Western Conservation Foundation works to protect national public lands and rivers across the American West. This grant will enable the organization to continue to educate and engage press and policymakers, and to collaborate with an array of other conservation organizations in support of its goals. Western ConservationFor General Operating Support"
197,  Western ConservationFor Strategic Planning
198,  Western ConservationFor General Operating Support
199,"The Global Status of CCS report, published annually in December, documents the status of CCS (carbon capture and storage) around the world, and the significant operational milestones that have occurred over the previous 12 months. It serves as a resource for business leaders, government officials, policymakers, scientists, academics, and media commentators engaged on CCS technology and policy.  For The 2019 And 2020 Editions Of The Global Status Of CCS Report"
200,   For General Operating Support
201,"This grant will support the Center for Western Priorities, a project of the Resources Legacy Fund. The Center encourages public debate about conservation policy issues and works to advance those discussions online, in the news media, and throughout Western communities by sharing original research and reports. Western ConservationFor Support Of The Center For Western Priorities"
202,Oxfam America is a relief and development organization that prioritizes work on climate change because of the threats it poses to poor and vulnerable people. Oxfam America’s efforts to build deeper understanding of and support for U.S. government climate investment programs will help maximize the ability of the U.S. to remain a participant of key bilateral and multilateral climate change programs.  For Support Of U.S. International Climate Finance
203,"Colorado College’s State of the Rockies Project seeks to increase public understanding of vital issues affecting the Rocky Mountain West. This renewal grant will support State of the Rockies’ annual Conservation in the West Poll, an Intermountain-wide poll of attitudes toward national public lands and water issues. Western ConservationFor Public Opinion Research"
204,  Western ConservationFor Organizational Assessment And Fund Development For Affiliates
205,"This project grant will support research to analyze the current climate mitigation policies of the 20 largest economies, compare those to where those countries need to be if we are to succeed in holding warming to under 2 degrees, and suggest policies countries can use to fill the gap. This would provide a roadmap for countries wishing to increase their ambition under the Paris Climate Agreement.  For Accelerating Ambition Of The Major Economies Through 2030"
206,"This grant will support WRI’s carbon dioxide removal (CDR) program. They focus on four objectives: develop analytically grounded policy proposals to advance carbon removal; strengthen the coalition of climate advocates that support CDR; engage with the private sector to build support for policies that promote CDR; and, finally, elevate promising emerging CDR technologies.  For Research On Development And Deployment Of Carbon Removal Technologies"
207,Backcountry Hunters and Anglers is a nonprofit sportsmen’s organization working to preserve North America’s outdoor heritage of hunting and fishing through public education and advocacy. This renewal grant supports the organization and its efforts to educate and engage sportsmen and women to protect high-quality hunting and fishing habitat on national public lands in the U.S. and Canada. Western ConservationFor General Operating Support
208,"The New Venture Fund’s Salmon State project seeks to protect the most important salmon-spawning watersheds in Alaska. The project aims to support the economy, recreation, and subsistence needs of Alaskans by educating and engaging commercial and sport fishermen, Alaska Natives, and the public. Western ConservationFor The Salmon State Project"
209,   For Supporting Sub-national Delegation At COP 25
210,  Western ConservationFor The Economic And Environmental Vitality Of The Klamath River Basin
211,"The Breakthrough Institute’s work is focused on three key areas: researching practical pathways to deep decarbonization, convening an ideologically diverse community of stakeholders committed to advancing technological solutions to climate change and other global environmental challenges, and building networks capable of overcoming the deep ideological polarization that has paralyzed climate and clean energy policy-making for the last several decades.  For General Operating Support"
212,   For Research To Develop Technological Cost Curves
213,"The California-China Climate Policy Institute aims to convert promising climate solutions into codified policies, to advance sub-national climate leadership, and to forge collective thinking on solutions that can help both California and China in achieving their decarbonization goals. It will bring together researchers at the University of California and Tsinghua University in Beijing with policymakers from regulatory agencies in California and China to share best practices and learn from each other’s success. The Institute will focus on promoting 2050 net-zero-emission road maps for California and China, zero-emission vehicles policy, research around complimentary policies for emissions trading, as well promoting sub-national climate collaborations.  For The California-China Climate Policy Institute"
214,   For The Finalization Of The Climate Finance Partnership Negotiations
215,"   For Advancing Organizational Effectiveness Through Diversity, Equity, And Inclusion"
216,"Trout Unlimited is a nonprofit organization with 150,000 members nationwide, dedicated to conserving, protecting, and restoring North America’s cold-water fisheries and their watersheds. Western ConservationFor General Operating Support"
217,"Since 1985, the Grand Canyon Trust has worked to protect and restore the Colorado Plateau, while supporting the rights of its Native peoples. Western ConservationFor General Operating Support"
218,The mission of the Theodore Roosevelt Conservation Partnership (TRCP) is to guarantee all Americans quality places to hunt and fish. The Partnership works to advance policy solutions by uniting its partners and amplifying the voices of American sportsmen and women in service of Theodore Roosevelt’s conservation legacy. Western ConservationFor General Operating Support
219,"The Windward Fund is the fiscal sponsor for a new regranting intermediary focused on elevating investment in diverse climate justice leadership to move equitable climate solutions at the speed and scale needed to attain a just and habitable world.  Inaugural seed funding from the Hewlett Foundation’s Climate Initiative, Performing Arts Program, and U.S. Reproductive Health Program will support the launch of the fund in 2019.  For The Women And Climate Fund"
220,   For The Evaluation Of Tax Credit Incentives For Low And Zero Carbon Technologies
221,"The Environmental Grantmakers Association serves more than 200 foundations in the U.S., Canada, and Europe. The organization’s mission is to increase the impact of environmental philanthropy by facilitating cooperation and collaboration among members locally, regionally, nationally, and internationally. This grant will support the association’s efforts to enhance the philanthropic field through research, and expose foundation members to new constituencies and diverse ideas at its annual meeting. Western ConservationFor General Operating Support"
222,"This grant will support the overarching goal of CPI’s Climate Finance program (CPI-CF), to ensure that policy and investment decision makers have the knowledge and tools to spend resources wisely to address climate change, while achieving sustainable development goals. CPI-CF’s programmatic strategy is organized around three work streams: (a) to provide needed information on investment flows and investors, (b) apply in-depth analysis to guide decision makers on their efforts to accelerate the effective use of public and private resources, and (c) develop and scale transformative financial solutions to address investors’ needs and lower costs.  For The Climate Finance Program"
223,"This grant will support Earthjustice’s efforts to reduce the use of fossil fuels; safeguard health; and preserve lands, wildlife, and oceans. Earthjustice represents hundreds of organizations and communities, free of charge, in regulatory and legal proceedings to enforce and strengthen U.S. environmental laws and policies.  For General Operating Support"
224,  Western ConservationFor A CRM Vision And Roadmap Project
225,  Western ConservationFor General Operating Support
226,"Sunrise Movement Education Fund is made up of young people who have dedicated their lives to solving the climate crisis. They work to build the public consensus needed for bold solutions that meet the scale of the challenge. Sunrise plans to hold leadership trainings for thousands of young people, with an emphasis on those living on the frontlines; facilitate large-scale media and digital communications campaigns; and conduct community organizing efforts across the country.  For General Operating Support"
227,"This grant will support the We Mean Business Coalition, which seeks to increase corporate ambition and move to action on climate. The Coalition is hoping to raise overall awareness that net zero is not only possible, but necessary to peak emissions. Their key geographies include Europe, North America, China, and India.  For The We Mean Business Coalition"
228,   For Energy Foundation U.S. Program Support
229,Greenpeace promotes alternatives to fossil fuels around the world through exposés and creative media. It was the first NGO in China to address coal as the major source of China’s air pollution. This grant will help fund clean air and energy work in East Asia and around the world.  Asia Clean Air And Climate Change Program
230,"Clean Energy Works was formed as one of the first winners of the Climate Breakthrough Project. The organization aims to translate a financing method commonly employed by electric utilities to promote energy efficiency to accelerate the uptake of electric vehicles. The financing concept, called Pay As You Save (PAYS), was endorsed by the Global Innovation Lab for Climate Finance in 2018. Clean Energy Works is working to implement the PAYS model to help cities procure electric buses. Within three years, the organization plans to mobilize $1 billion for 4,000 electric buses in 50 cities.  For General Operating Support"
231,   For The Climate And Clean Energy Program
232,"  Western ConservationFor Organizational Work On Equity, Inclusion, And Diversity"
233,"  Western ConservationFor Strategic Planning For The Hispanics Enjoying Camping, Hunting, And The Outdoors (HECHO) Program"
234,  Western ConservationFor Salesforce Integration And Upgrades
235,"The Open Space Institute’s Outdoors America Campaign is a broad-based effort to educate the public about the benefits of conserving public and private land. This grant supports the Institute’s work to conduct media outreach and build a broad coalition of partners and supporters around the recreational, ecological, and economic benefits of conserving working lands, parks, and forests, as well as American history, cultural treasures, and clean water on our public lands. Western ConservationFor The Outdoors America Campaign"
236,"This grant will support ECF’s Global Strategic Communications Council. The Council is an international communications network that supports NGO activity all over the world. Their focus is on unbranded communications that support climate science and scientists, promotes clean energy and transportation solutions, and counters fossil fuel opponents of climate mitigation. This grant will fund the Council’s core program and its India program.  For The Global Strategic Communications Council"
237,"Carbon accounting of financed emissions is foundational for aligning finance portfolios with climate change mitigation. This work seeks to (a) develop a global carbon accounting standard for financed emissions (known as the Platform for Carbon Accounting Financials, or PCAF); (b) increase the number of banks that commit to measure and disclose the carbon emissions of their loans and investments, ultimately aligning their portfolio with the Paris Agreement; and (c) provide technical assistance to the participating institutions in order to adapt the global standard to the regional context, and implement carbon accounting within their firms.  For The Platform For Carbon Accounting Financials (PCAF) Project"
238,"The U.N. Foundation is the fiscal sponsor for the U.S. Climate Alliance, a bipartisan group of 24 U.S. states, led by their governors, committed to adopting policies to advance the U.S. Paris climate commitments. Collectively, these states represent more than half the United States population and economy. This grant will help states accelerate implementation of key policies, share best practices, provide technical assistance, and track and communicate progress.  For The U.S. Climate Alliance"
239,"This general operating grant will support the Carbon Disclosure Project in North America in its mission to focus investors, companies, and cities on taking urgent action to build a truly sustainable economy. Some of the strategies to achieve its mission include increasing and strengthening disclosure of companies across all major economies; generating data-driven insights to drive action and a transition to a net-zero, sustainable economy; improving tracking of progress and accountability to further accelerate shifts in corporate behavior; and informing and supporting regulation and supervisory authorities in target geographies. The focus is on policy related to disclosure, governance, and market-based solutions to address climate risk and support the Paris Agreement.  For General Operating Support"
240,"The Carbon Dioxide Removal Fund is a three-year collaborative project of ClimateWorks, the Climate and Land Use Alliance, the Packard Foundation, and the Spitzer Foundation. The Fund will seed policy research, convenings, thought leadership, and communications outreach around natural and technological carbon dioxide removal. It will also support other foundations with analysis and by working to align efforts in the U.S., China, and Europe.  For Carbon Dioxide Removal Initiative"
241,   For A Study On The Youth Climate Movement
242,  Western ConservationFor Developing An Equity Plan
243,"The Windward Fund is the fiscal sponsor for the Potential Energy Coalition, which comprises leading talent in the marketing industry and the climate movement. The Coalition will work to build and deploy creative communications campaigns that help deepen and focus the existing public demand for climate action, and blunt the power of those calling for climate denial and delay.  For The Potential Energy Coalition Project"
244,"The New Venture Fund is the fiscal sponsor for the Climate Equity Communications Accelerator Program. The Climate Equity Communications Accelerator will strengthen the communications capacity of nonprofit climate justice organizations and the broader climate justice field by integrating robust communications and narrative strategies into organizations, coalitions, and policy campaigns in target states.  For The Climate Equity Communications Accelerator Program"
245,"Wild Salmon Center is the leading group working to protect healthy, wild salmon rivers across the North Pacific. This general operating grant supports their ability to work with local and regional partners to conserve salmon strongholds using science and communications expertise. Western ConservationFor General Operating Support"
246,"  Western ConservationFor Work On Equity, Inclusion And Diversity"
247,   For The ClimatePlan Program
248,"The Rockefeller Brothers Fund’s Southern China Program supports efforts to mitigate environmental pollution and greenhouse gases by building capacity in more than 30 Chinese NGOs and promoting Chinese-based philanthropy. For more than 10 years, the program has worked with local groups to highlight air and water pollution issues, as well as research institutions that support these efforts.  For Work To Address Environmental Pollution, Public Health, And Climate Change In China"
249,   For Legal Support On Emerging Work In China
250,"Founded in 1939, Nature Canada is a member-based environmental organization headquartered in Ottawa, Canada. Its supporters include more than 45,000 individuals and over 350 affiliated organizations, including local and provincial naturalist clubs. This grant supports the organization’s ability to protect and conserve wildlife and habitats in Canada by collaborating with partner organizations to bring public attention to and support for new protected areas. Western ConservationFor Public Communications And Outreach About Nature Conservation In Canada"
251,"China, currently the largest carbon emitter, is committed to reducing emissions to meet the Paris Agreement. To transition to a low-carbon economy, market interventions are needed. Green finance can help steer private capital into climate-friendly industries and projects. The Research Center for Green Finance Development at Tsinghua University expects to accomplish two goals with this Program: (a) to accelerate the domestic development of green finance and (b) to build the capacity for green finance with international partners.  For The Global Green Finance Leadership Program"
252,   For Website Revamping And Strategic Planning For The Climate Advocacy Lab
253,  Western ConservationFor The Development Of Equity Plans
254,   For The Climate Policy And Litigation Program
255,   For A 100% Clean International Conference
256,"The Georgetown Climate Center, based within Georgetown University Law Center, provides coordination, communication, and technical support across a number of states moving forward with climate and clean energy policies. By helping to enable these state actions and sharing their stories, the Climate Center also helps promote wider subnational leadership in the U.S., and signals to the rest of the world that the U.S. remains capable of meeting its climate commitments.  For Georgetown Climate Center's Clean Energy And Transportation Programs"
257,"The Partnership Project hosts the Climate Action Campaign, a group of national environmental organizations and influential partners that conducts coordinated efforts to slow and stop attacks on climate and clean energy progress.  For The Climate Action Campaign"
258,"Public demand for clean energy is growing rapidly, but because clean energy products typically require a large up-front cost, there is a growing need for affordable financing. The Clean Energy Credit Union (CECU) will serve as a nexus for those who wish to learn about opportunities or to leverage their financial savings in order to promote clean energy, environmental stewardship, and a cooperative economy. Its vision is a world where everyone can participate in the clean energy movement.  For Expanding Opportunities For Clean Energy Lending In The United States"
259,"The Idaho Conservation League (ICL) is Idaho’s leading voice for conservation, working to protect public lands, maintain and improve rivers and streams, and transition Idaho to a cleaner, lower-carbon future. Western ConservationFor General Operating Support"
260,"The world needs to achieve vast reduction of global greenhouse gas emissions in the coming decades to avoid the most catastrophic effects of climate change. For deep decarbonization, it is critical that solutions, including carbon dioxide removal (CDR) interventions, be developed and deployed in parallel with advances in global, national, and local policies. This work will perform intentional, comprehensive, and rigorous evaluation of CDR solutions for potential investment and share the results with the investment community.  For Investment Readiness In Carbon Dioxide Removal"
261,"  Western ConservationFor Organizational Work On Equity, Inclusion, And Diversity"
262,The grant will help New Venture Fund launch transformational campaigns to accelerate the deployment of zero-emission vehicles in the U.S. The Moving Beyond Oil Fund is meant to rapidly incubate and launch campaigns that complement the long-term efforts of grantees focused on transportation electrification in the U.S.  For The Moving Beyond Oil Fund Project
263,"This program grant will allow the Energy Foundation to develop strategies, make grants, and monitor and evaluate progress toward decarbonization of the U.S. economy. The Energy Foundation will regrant to a broad array of organizations, including technical and policy experts, and influential constituencies working to build support for the transition to a clean-energy economy.  For Energy Foundation U.S. Program Support"
264,"The New Venture Fund’s Climate and Clean Energy Equity Fund will support groups in select states and cities working to transition to a clean energy future in ways that promote economic, social, and environmental justice — minimizing risks and maximizing benefits to low-income communities. The Fund’s climate equity framework addresses the need to broaden the base of support for climate action in order to accelerate the pace of change. The Fund will help organizations grow their memberships, strengthen their organizing skills, and build their capacity to advocate for strong clean-energy and climate policies.  For The Climate And Clean Energy Equity Fund"
265,"Through outreach and land-use planning, Public Land Solutions helps western communities identify and maximize the potential of their public lands recreation assets. Western ConservationFor General Operating Support"
266,"The Rockefeller Family Fund’s Just Transition Fund works to create inclusive and low-carbon economic opportunities for communities and workers hit hardest by the transition away from coal. One top-tier priority is the transition underway at the Navajo Generating Station, where a coal plant and mine are expected to close in 2019.  For Support Of The Just Transition Fund"
267,"Through a holistic approach to infrastructure, funding, advocacy, consulting, and philanthropy, the NDN Collective is working to empower indigenous communities nationwide. Western ConservationFor General Operating Support"
268,"This grant to the World Resources Institute will fund the continuation of the Track II climate dialogue between senior nongovernmental advisors and former statesmen from the U.S. and China. These talks provide the opportunity to raise and address issues in less-formal forums and build trust for the time when climate policy is back on the agenda of the U.S. and China. The project will work with actors from across the political spectrum with the aim of building ambition on both sides. This grant will support convening and analysis.  For U.S.-China Track II Dialogue On Energy, Climate Change, And Sustainable Development"
269,"C2ES works to limit global warming emissions on two fronts. At the domestic level, it has programs like the Climate Innovation 2050 initiative, which seeks ways to decarbonize the U.S. economy. Internationally, it has programs like the Climate Negotiator Dialogue, which seeks to foster cooperation and understanding between countries and grow ambition for reductions of global warming emissions.  For General Operating Support"
270,"With this support, Jobs to Move America will leverage public agencies’ substantial purchasing power to build critical climate infrastructure and foster the growth of cleaner transportation, including an electric vehicle manufacturing sector centered around workers, equity, and access.  Their comprehensive national and multiregional clean public transportation program aims to reduce transportation-related greenhouse gas emissions, set high-road job standards, and ensure that public investments in new technologies generate shared economic and environmental prosperity for all.  For The Clean Public Transportation Program"
271,"The Great Plains Institute (GPI) works on solutions that reduce and ultimately eliminate carbon emissions, while strengthening communities and providing greater economic opportunity through creation of high-paying jobs, expansion of the nation’s industrial base, and increased domestic energy independence. The Institute works at the state level, with a focus on the Plains states, and at the national level.  For General Operating Support"
272,"  Western ConservationFor Equity, Inclusion, And Diversity Training For The CLF Friends Network"
273,"This grant is to support ECF’s launch of the Zero Emission Heavy Duty Vehicles in Europe campaign in 2019. The campaign will leverage the promising advances in zero-emission vehicle technology and the launch of several battery-electric commercial vehicle models this year in the European market. The campaign’s efforts will target key E.U. countries as well as the E.C., given widespread concerns over poor air quality from diesel-vehicle exhaust and the recent successful passage of the continent’s first fuel efficiency standards for heavy duty vehicles.  For The Transport Programme"
274,"The Center for American Progress is an independent, nonpartisan policy institute dedicated to improving the lives of all Americans through advancing bold, progressive ideas, as well as strong leadership and concerted action. This grant supports its efforts to ensure that America’s public lands, waters, and wildlife are protected for everyone to experience and explore; that America’s natural resources are developed wisely, safely, and with a fair return to taxpayers; and that public lands are being managed for sustainable economic growth, from creating jobs in recreation and clean energy industries to delivering the quality of life that attracts employees and businesses to western communities. Western ConservationFor The Public Lands Program"
275,"The Hip Hop Caucus is a national organization that works with musicians and other cultural influencers to build popular support for climate action. Support from the Hewlett Foundation will allow Hip Hop Caucus to launch the second season of its Think 100% radio show and podcast, focused on the voices, perspectives, interests, and leadership of young people, particularly young people of color.  For The Think 100% Project"
276,"CALSTART works with the automotive industry and key policymakers to advance clean transportation solutions in all road-vehicle segments. Their theory of change is centered on technology and policy advocacy. CALSTART is focusing on building toward a zero-emission freight future through their efforts in California and other U.S. states, as well as nationally and internationally. CALSTART serves as the Secretariat for the Global Commercial Vehicle Drive to Zero program, which will coordinate several global policy efforts for zero-emission freight. In the U.S., their efforts focus on further advancing policy in support of zero-emission freight vehicles at the state and federal levels.  For General Operating Support"
277,"This grant will support research and public education regarding carbon-capture technologies for end-of-pipe applications in power and industry, as well as atmospheric carbon dioxide removal through direct air capture and sequestration.  For Carbon Capture, Utilization, And Storage"
278,"This grant will support the Resources Legacy Fund’s Conservation Litigation project, which works with a network of expert academics to develop legal theories and long-term scholarship in support of conservation and protective public lands policy and raise the profile of legal issues related to public lands for both legal and general audiences. Western ConservationFor The Conservation Litigation Project"
279,"This general support grant will allow the BlueGreen Alliance Foundation to continue to align the interests of labor unions and environmental organizations to provide commonsense climate and environmental solutions that create family-sustaining jobs, protect the health of workers and communities, and build a fair and thriving economy.  For General Operating Support"
280,"Earthjustice is a nonprofit environmental law organization that works to protect people’s health, to preserve magnificent places and wildlife, to advance clean energy, and to combat climate change via legal strategies and partnerships with tribes and hundreds of community organizations. Western ConservationFor General Operating Support"
281,  Western ConservationFor General Operating Support
282,"The 2050 Pathways Platform was launched in 2016 following the adoption of the Paris Agreement and its call on countries to elaborate long-term low-emissions development strategies. The 2050 Platform’s main intent is to create greater ambition in the short and medium term, through the development and elaboration of these long-term strategies coherent with Paris’ net-zero emissions objective. With this in mind, the Platform was created with a group of front-runner countries, cities, regions, and private companies to form a coalition around the strategic importance of long-term planning.  For The 2050 Pathways Platform"
283,   For The Institute For Regulatory Law And Economics Workshop
284,"The American Lung Association’s Healthy Air Campaign mobilizes the medical and health community in support of climate and clean air safeguards that protect public health from the dangerous effects of air pollution and climate change. This renewal grant will allow the Association, one of the most prominent U.S. public health organizations, to continue its work in support of clean air, climate action, and strong EPA regulations and funding to protect public health.  For The Healthy Air Campaign"
285,"Resources for the Future (RFF) is a think tank whose mission is to improve environmental, energy, and natural resource decisions through impartial economic research and policy engagement. RFF has two major program areas. The first is land, water, and nature. The second is energy and climate, where the focus is on environmental externalities and carbon pricing. RFF expertise is modeling and analysis of the cost and impact of climate policies on carbon, electricity, and energy commodity markets.  For General Operating Support"
286,"EcoFlight educates and advocates for the protection of wild lands and wildlife habitat using small aircraft. The organization offers educational, aerial programs to encourage an environmental stewardship ethic among citizens of all ages. Western ConservationFor General Operating Support"
287,"The Regulatory Assistance Project provides technical assistance to utility and environmental regulators to facilitate the adoption of clean-energy policies. It is composed of former regulators who leverage their expertise with advocates to promote sustainable low-carbon power sector development in the U.S., China, India, Europe, and Latin America. In Europe, its focus is developing power markets that reward emission-free generation. In China, it advises grantees and the government on reforming how clean power is brought onto the grid and on reforming wholesale markets. In India, the Project is working with regulators and grantees to strengthen the Indian energy boards and provide technical assistance on renewable energy integration.  For General Operating Support"
288,"The Society of Environmental Journalists is the only North American membership association of professional journalists dedicated to more and better coverage of environment-related issues through high-quality, objective, and independent journalism. The Society’s Fund for Environmental Journalism was established in 2011 to invest in public-service reporting on the environment and the journalists who produce it, and support development and dissemination of significant coverage that otherwise could not be completed. This project grant will assist the Fund in supporting the Institute for Journalism and Natural Resources, which will organize a reporting trip to Bristol Bay, Alaska. Western ConservationFor Enhancing News Coverage Of Bristol Bay"
289,  Western ConservationFor Executive Coaching
290,"  Western ConservationFor Organizational Work On Equity, Inclusion And Diversity"
291,"ITDP's mission is to promote environmentally sustainable and socially equitable transportation in cities worldwide. ITDP is a global organization that works locally, in dozens of cities worldwide, while also serving as a global platform to share best practices. The organization aims to mitigate greenhouse gas emission from transportation by reducing demand for vehicle miles traveled and by shifting demand to less carbon-intensive modes like public transit, cycling, walking and microtransit.  For General Operating Support"
292,"The Institute for Transportation &amp; Development Policy promotes enviornmentally sustainable and socially equitable transportation in cities worldwide. With this grant, ITDP will make progress toward its goal of replacing high-carbon personal vehicles with low-carbon, shared and electric vehicles. Specifically, ITDP will work with cities to electrify buses, informal transit and shared micromobility in China and India. The lessons from this work will serve to inform the development of a global electric bus policy and implementation guidebook.  For Advancing Electrification In Urban Transport"
293,   For Public Communications Research
294,"The Climate Group works with non-state actors, businesses, and subnational governments on accelerating clean energy transitions through collaborative programs that deliver impact on a global scale. In India, transport is estimated to consume 25% of energy by 2040, of which 90% will be in road transport. The Climate Group is proposing to work with companies in India to increase access to and adoption of electric vehicles (EVs) in order to catalyze the development of a strong demand-side EV ecosystem, encourage more companies to adopt sustainable mobility strategies, and reduce emissions from passenger transport. The grant will also be used to recruit more Indian members to EV100.  For Accelerating Electric Vehicle Adoption In India"
295,"The European Climate Foundation — a ""foundation of foundations"" — was established in early 2008 as a major philanthropic initiative to help Europe foster the development of a low-carbon society and play an even stronger international leadership role in mitigating climate change. The ECF advances policy in the areas of energy, transportation, buildings, low-carbon finance, industry, and energy efficiency. They also support international efforts to mitigate carbon emissions through the United Nations and G20. The organization works to develop policy at the local, national, and European Union level.  For General Operating Support"
296,"ClimateWorks Foundation works to address climate change and advance clean energy and a prosperous economy. They will pursue a global approach to reducing greenhouse gas emissions aimed at energy sectors and regions with high or fast-growing levels of greenhouse gas pollution. Among their priorities will be increasing clean, renewable energy sources; energy efficiency; and clean transportation, while reducing deforestation and emissions of highly potent greenhouse gases. ClimateWorks will also continue to increase philanthropic capacity in the field.  For General Operating Support"
297,"This is a grant will support to development and promulgation of a global industrial sector strategy. The strategy will focus on the top emitting industries including steel, concrete and chemicals. It will address these sub sectors in the United States, the European Union and China. Additionally, the grant will support the seeding of technical support in NGO's in the three regions. The program will engage other foundations in this effort. The expectation is this program will expand in 2020.  For An Industrial Deep Decarbonization Strategy"
298,  Western ConservationFor Western Land Conservation
299,"This renewal grant will support the Pew Charitable Trusts’ Western Public Lands Campaign, which works with communities to advance policies that protect national public lands of the American West. Western ConservationFor Western Public Lands Protection"
300,"This grant will support the Resources Legacy Fund’s Western Energy Project, which works with Western communities to protect ecologically significant national public lands by engaging in land-use planning processes and public education campaigns. Western ConservationFor The Western Energy Project"
301,"This grant will support the Climate and Land Use Alliance at ClimateWorks Foundation. CLUA’s mission is to realize the potential of forested and agricultural landscapes to mitigate climate change, benefit people, and protect the environment, primarily in Indonesia, Brazil, and Mesoamerica. Land use — from deforestation, land degradation, and the draining and burning of tropical peatlands to fertilizer application and rice and cattle production — is responsible for about 25 percent of human-related greenhouse gas emissions. More effective land use protects the climate by reducing carbon emissions and preserving nature’s vital carbon sinks.  For The Climate And Land Use Alliance"
302,The National Wildlife Federation is America’s largest and oldest conservation organization. This renewal grant will support the Federation’s work with sportsmen and women and other partners to protect critical wildlife habitat across the American West. Western ConservationFor The Hunters And Anglers Defending Public Lands Program
303,This general operating support grant to the Water Foundation will support its work to ensure water policy in California and the West balances the needs of communities and the environment. Western ConservationFor General Operating Support
304,"The Western Conservation Foundation works to protect national public lands and rivers across the American West. This general support renewal grant will enable the organization to continue to educate and engage press and policy makers, and to collaborate with an array of other conservation organizations in support of its goals. Western ConservationFor General Operating Support"
305,"The Clean Air Task Force focuses on mitigating CO2 by promoting carbon capture and storage policies, low-carbon energy innovation, renewable energy, and nuclear power. The Task Force also focuses on high-potency pollutants like methane and black carbon. Its priorities in 2019-20 are to increase incentives for carbon capture at the federal and state level, reform the Nuclear Regulatory Commission’s nuclear innovation processes, and foster business-to-business partnerships in the U.S. and China for zero-carbon innovation. The Task Force’s approach to the climate-driven energy transition focuses on the deep decarbonization necessary to achieve a 2-degree goal.  For General Operating Support"
306,"This grant funds technical assistance, capacity building, and legal training for NGOs that engage in civil environmental litigation in China. China has recently opened up its judicial system to NGOs that have been approved by the civil authorities. The grant also supports direct technical assistance for China’s judiciary, as well as track changes to Chinese judicial codes dealing with environmental public interest litigation.  For Capacity Building Of The Environmental Law System In China"
307,  Western ConservationFor General Operating Support
308,"Resources for the Future is an independent, nonprofit research institution in Washington, D.C. This grant supports the organization’s ability to study the economic effects of removing dams from rivers. Western ConservationFor A Study On The Economics Of Dam Removal"
309,  Western ConservationFor Scoping A New Regranting Program
310,   For The Andrus Environmental Conference Sponsorship
311,"The National Congress of American Indians is the nation’s oldest, largest, and most representative American Indian and Alaska Native organization. This general operating support grant will enable the Congress to serve the broad interests of tribal governments and communities. Western ConservationFor General Operating Support"
312,  Western ConservationFor General Operating Support
313,   For Sponsorship Of PGM ONE
314,  Western ConservationFor Public Communications Research
315,  Western ConservationFor General Operating Support
316,"This grant supports the International Boreal Conservation Campaign, an initiative of the Resources Legacy Fund to empower Canadians to protect their boreal forestlands for the benefit of people and nature. Western ConservationFor The International Boreal Conservation Campaign"
317,   For Annual Membership Fees
318,  Western ConservationFor Latino Outdoors
319,  Western ConservationFor Upper Gila River Community Planning
320,  Western ConservationFor A Documentary About America's Public Lands
321,"The International Council on Clean Transportation is an independent, nonprofit environmental research organization with offices in Washington, D.C., San Francisco, Berlin, and Beijing. The Council’s mission is to improve the environmental performance and energy efficiency of road, marine, and air transportation, in order to mitigate climate change and benefit public health. With this grant, the Council will conduct research and analysis in support of strong national and state policies that accelerate electric vehicle deployment in India.  For Electric Vehicle Work In India"
322,"The goal of the World Resources Institute’s Sustainable Cities Program in China is to ensure that cities drive economic opportunity, while mitigating pollution, sustaining natural resources, and improving quality of life. China is the largest carbon emitter in the world, and transport emissions are a significant part given the rapid urban and vehicle growth in cities. By 2030, transport will be 33 percent of China’s total carbon emissions. With this grant, the Institute will work on scaling up the Low Emissions Zone and Congestion Charging mechanisms in Beijing to 10-20 other cities in China. The instruments will contribute to solving three problems: air pollution, carbon emission, and traffic congestion.  For The Beijing Congestion Charging Project"
323,   For India-U.S. Track II Dialogue
324,   For The Emergent Fund
325,   For The Center On Global Energy Policy’s Strategic Planning And International Negotiations Work
326,"The Health Effects Institute is responsible for the analytics behind the Global Burden of Disease report. This grant will support the dissemination of the research on impacts of coal and petroleum on air pollution and human health. It will also support the continued refinement of outreach in China, India, Eastern Europe, and southeast Asia.  For The Global Burden Of Disease Program"
327,   For Diversifying The Ecomodernist Network
328,"The Union of Concerned Scientists is one of the leading organizations on promoting zero-tailpipe emission technologies for cars and trucks in the United States. With this grant, the Union’s Clean Vehicles program plans to advance policy that will electrify trucks and buses in the Western U.S. and also push for policy actions to reduce emissions from future automated ridehailing services.  For Driving Transportation Electrification For A Clean And Equitable Future"
329,"China’s asset management industry is growing and expected to surpass $25 trillion USD by 2020. There is a window of opportunity to support responsible investment practices, particularly related to climate change. PRI will grow its China-based membership and activities to support carbon disclosure and portfolio decarbonization planning with China’s asset managers.  For The China Program"
